Generic Name,Trade Name,Date Designated,Orphan Designation,Orphan Designation Status,Date Designation Withdrawn or Revoked,FDA Orphan Approval Status,Approved Labeled Indication,Marketing Approval Date,Exclusivity End Date,"Exclusivity Protected Indication * (Shown for approvals from Jan. 1, 2013, to the present)",Sponsor Company,Sponsor Address 1,Sponsor Address 2,Sponsor City,Sponsor State,Sponsor Zip,Sponsor Country,CF Grid Key
eculizumab,Soliris,2014-06-12,Treatment of Myasthenia Gravis,Designated/Approved,,,for the treatment of adult patients with generalized Myasthenia Gravis (gMG) who are anti-acetylcholine receptor (AchR) antibody positive,2017-10-23,2024-10-23,for the treatment of adult patients with generalized Myasthenia Gravis (gMG) who are anti-acetylcholine receptor (AchR) antibody positive,"Alexion Pharmaceuticals, Inc.",121 Seaport Boulevard,,Boston,Massachusetts,' 02210 ' ,United States,434214.0
edaravone,Radicava ORS,2015-05-12,Treatment of amyotrophic lateral sclerosis,Designated/Approved,,,Treatment of amyotrophic lateral sclerosis (ALS),2022-05-12,2029-05-12,Treatment of amyotrophic lateral sclerosis (ALS),Mitsubishi Tanabe Pharma Corporation,"17-10, Nihonbashi-Koamicho",,Tokyo,,' ' ,Japan,478215.0
edaravone,Radicava,2015-05-12,Treatment of amyotrophic lateral sclerosis,Designated/Approved,,,Treatment of amyotrophic lateral sclerosis (ALS),2017-05-05,2024-05-05,Treatment of amyotrophic lateral sclerosis (ALS),Mitsubishi Tanabe Pharma Corporation,"17-10, Nihonbashi-Koamicho",,Tokyo,,' ' ,Japan,478215.0
efgartigimod alfa and hyaluronidase-qvfc,Vyvgart Hytrulo,2022-07-27,Treatment of myasthenia gravis,Designated/Approved,,,treatment of adult patients with generalized myasthenia gravis (gMG) who are anti-acetylcholine receptor (AChR) antibody positive,2025-04-10,,,argenx BV,Industriepark Zwijnaarde 7,,Zwijnaarde (Ghent),,' 9052 ' ,Belgium,825421.0
efgartigimod alfa and hyaluronidase-qvfc,Vyvgart Hytrulo,2021-11-08,Treatment of Chronic Inflammatory Demyelinating Polyneuropathy,Designated/Approved,,,treatment of adult patients with chronic inflammatory demyelinating polyneuropathy (CIDP),2024-06-21,2031-06-21,treatment of adult patients with chronic inflammatory demyelinating polyneuropathy (CIDP),argenx BV,Industriepark Zwijnaarde 7,,Zwijnaarde,East Flanders,' 9052 ' ,Belgium,851421.0
efgartigimod alfa and hyaluronidase-qvfc,Vyvgart Hytrulo,2022-07-27,Treatment of myasthenia gravis,Designated/Approved,,,treatment of generalized myasthenia gravis (gMG) in adult patients who are anti-acetylcholine receptor (AChR) antibody positive,2023-06-20,2030-06-20,treatment of generalized myasthenia gravis (gMG) in adult patients who are anti-acetylcholine receptor (AChR) antibody positive,argenx BV,Industriepark Zwijnaarde 7,,Zwijnaarde (Ghent),,' 9052 ' ,Belgium,825421.0
efgartigimod alfa and hyaluronidase-qvfc),Vyvgart Hytrulo,2021-11-08,Treatment of Chronic Inflammatory Demyelinating Polyneuropathy,Designated/Approved,,,treatment of adult patients with chronic inflammatory demyelinating polyneuropathy (CIDP),2025-04-10,,,argenx BV,Industriepark Zwijnaarde 7,,Zwijnaarde,East Flanders,' 9052 ' ,Belgium,851421.0
efgartigimod alfa-fcab,Vyvgart,2017-09-20,Treatment of myasthenia gravis,Designated/Approved,,,treatment of generalized myasthenia gravis (gMG) in adult patients who are anti-acetylcholine receptor (AChR) antibody positive,2021-12-17,2028-12-17,treatment of generalized myasthenia gravis (gMG) in adult patients who are anti-acetylcholine receptor (AChR) antibody positive,argenx BV,Industriepark Zwijnaarde 7,,Zwijnaarde,,' 9052 ' ,Belgium,527316.0
eflornithine,Iwilfin,2017-11-22,Treatment of neuroblastoma,Designated/Approved,,,"to reduce the risk of relapse in adult and pediatric patients with high-risk neuroblastoma (HRNB) who have demonstrated at least a partial response to prior multiagent, multimodality therapy including anti-GD2 immunotherapy",2023-12-13,2030-12-13,"to reduce the risk of relapse in adult and pediatric patients with high-risk neuroblastoma (HRNB) who have demonstrated at least a partial response to prior multiagent, multimodality therapy including anti-GD2 immunotherapy","USWM, LLC",4441 Springdale Rd,,Louisville,Kentucky,' 40241 ' ,United States,613217.0
Eflornithine HCl,Ornidyl,1986-04-23,Treatment of Trypanosoma brucei gambiense infection (sleeping sickness).,Designated/Approved,,,,1990-11-28,1997-11-28,,Hoechst Marion Roussel,P.O. Box 9627,,Kansas City,Missouri,' 64134 ' ,United States,13586.0
eladocagene exuparvovec-tneq,Kebilidi,2016-06-08,treatment of aromatic L-amino acid decarboxylase deficiency,Designated/Approved,,,treatment of adult and pediatric patients with aromatic L-amino acid decarboxylase (AADC) deficiency,2024-11-13,2031-11-13,treatment of adult and pediatric patients with aromatic L-amino acid decarboxylase (AADC) deficiency,"PTC Therapeutics, Inc.",500 Warren Corporate Center Drive,,Warren,New Jersey,' 07059 ' ,United States,526916.0
elafibranor,Iqirvo,2019-07-25,Treatment of Primary Biliary Cholangitis,Designated/Approved,,,"treatment of primary biliary cholangitis (PBC) in combination with ursodeoxycholic acid (UDCA) in adults who have had an inadequate response to UDCA, or as monotherapy in patients unable to tolerate UDCA",2024-06-10,2031-06-10,"treatment of primary biliary cholangitis (PBC) in adults who have had an inadequate response to ursodeoxycholic acid (UDCA), or in patients unable to tolerate UDCA",Ipsen Bioscience Inc.,"One Main Street, 7th Floor",,Cambridge,Massachusetts,' 02142 ' ,United States,693919.0
elapegademase-lvlr,Revcovi,2015-03-19,Treatment of adenosine deaminase deficiency in patients with severe combined immunodeficiency.,Designated/Approved,,,Treatment of Adenosine Deaminase-Severe Combined Immunodeficiency (ADA-SCID).,2018-10-05,2025-10-05,treatment of adenosine deaminase severe combined immune deficiency (ADA-SCID) in pediatric and adult patients.,Chiesi USA Inc.,175 Regency Woods Place,Suite 600,Cary,North Carolina,' 27518 ' ,United States,467514.0
"elexacaftor, tezacaftor, and ivacaftor; ivacaftor",Trikafta,2018-08-29,Treatment of Cystic Fibrosis,Designated/Approved,,,treatment of cystic fibrosis (CF) in patients aged 12 years and older who have at least one F508del mutation in the cystic fibrosis transmembrane conductance regulator (CFTR) gene or a mutation in the CFTR gene that is responsive based on in vitro data,2020-12-21,2027-12-21,treatment of cystic fibrosis in patients aged 12 years and older who have a mutation in the cystic fibrosis transmembrane conductance regulator (CFTR) gene that is responsive based on in vitro data.,Vertex Pharmaceuticals Incorporated,50 Northern Avenue,,Boston,Massachusetts,' 02210 ' ,United States,647618.0
"elexacaftor, tezacaftor, and ivacaftor; ivacaftor",Trikafta,2018-08-29,Treatment of Cystic Fibrosis,Designated/Approved,,,treatment of cystic fibrosis (CF) in patients aged 2 years and older who have at least one F508del mutation in the cystic fibrosis transmembrane conductance regulator (CFTR) gene or a mutation in the CFTR gene that is responsive based on clinical and/or in vitro data,2024-12-20,2031-12-20,"treatment of cystic fibrosis (CF) in patients aged 2 years and older who have one of the additional mutations in the cystic fibrosis transmembrane conductance regulator (CFTR) gene that is responsive based on clinical and/or in vitro data and identified in the approval on December 20, 2024",Vertex Pharmaceuticals Incorporated,50 Northern Avenue,,Boston,Massachusetts,' 02210 ' ,United States,647618.0
"elexacaftor, tezacaftor, and ivacaftor; ivacaftor",Trikafta,2018-08-29,Treatment of Cystic Fibrosis,Designated/Approved,,,treatment of cystic fibrosis (CF) in patients aged 2 years and older who have at least one F508del mutation in the cystic fibrosis transmembrane conductance regulator (CFTR) gene or a mutation in the CFTR gene that is responsive based on in vitro data,2023-04-26,2030-04-26,treatment of cystic fibrosis (CF) in patients aged 2 years to less than 6 years who have at least one F508del mutation in the cystic fibrosis transmembrane conductance regulator (CFTR) gene or a mutation in the CFTR gene that is responsive based on in vitro data,Vertex Pharmaceuticals Incorporated,50 Northern Avenue,,Boston,Massachusetts,' 02210 ' ,United States,647618.0
"elexacaftor, tezacaftor, and ivacaftor; ivacaftor",Trikafta,2018-08-29,Treatment of Cystic Fibrosis,Designated/Approved,,,Treatment of cystic fibrosis (CF) in patients aged 6 years and older who have at least one F508del mutation in the cystic fibrosis transmembrane conductance regulator (CFTR) gene or a mutation in the CFTR gene that is responsive based on in vitro data,2021-06-08,2028-06-08,Treatment of cystic fibrosis (CF) in patients aged 6 through 11 years old who have at least one F508del mutation in the cystic fibrosis transmembrane conductance regulator (CFTR) gene or a mutation in the CFTR gene that is responsive based on in vitro data,Vertex Pharmaceuticals Incorporated,50 Northern Avenue,,Boston,Massachusetts,' 02210 ' ,United States,647618.0
"elexacaftor, tezacaftor, and ivacaftor; ivacaftor",Trikafta,2018-08-29,Treatment of Cystic Fibrosis,Designated/Approved,,,TRIKAFTA is indicated for the treatment of cystic fibrosis (CF) in patients aged 12 years and older who have at least one F508del mutation in the cystic fibrosis transmembrane conductance regulator (CFTR) gene,2019-10-21,2026-10-21,Indicated for the treatment of cystic fibrosis (CF) in patients aged 12 years and older who have at least one F508del mutation in the cystic fibrosis transmembrane conductance regulator (CFTR) gene.,Vertex Pharmaceuticals Incorporated,50 Northern Avenue,,Boston,Massachusetts,' 02210 ' ,United States,647618.0
eliglustat,CERDELGA,2008-09-17,Treatment of Type I Gaucher disease,Designated/Approved,,,"Long-term treatment of adult patients with Gaucher disease type 1 who are CYP2D6 extensive metabolizers (EMs), intermediate metabolizers (IMs), or poor metabolizers (PMs) as detected by an FDA-cleared test.",2014-08-19,2021-08-19,"Long-term treatment of adult patients with Gaucher disease type 1 who are CYP2D6 extensive metabolizers (EMs), intermediate metabolizers (IMs), or poor metabolizers (PMs) as detected by an FDA-cleared test.",Genzyme Corporation,500 Kendall Street,,Cambridge,Massachusetts,' 02142 ' ,United States,265408.0
elivaldogene autotemcel,Skysona,2012-04-19,Treatment of adrenoleukodystrophy,Designated/Approved,,,"To slow the progression of neurologic dysfunction in boys 4-17 years of age with early, active cerebral adrenoleukodystrophy (CALD)",2022-09-16,2029-09-16,"To slow the progression of neurologic dysfunction in boys 4-17 years of age with early, active cerebral adrenoleukodystrophy (CALD)","bluebird bio, Inc.",455 Grand Union Blvd,,Somerville,Massachusetts,' 02145 ' ,United States,368212.0
elosulfase alfa,Vimizim,2009-05-15,Use in the treatment of mucopolysaccharidosis (MPS) Type IV A (Morquio A syndrome),Designated/Approved,,,Patients with Mucopolysaccharidosis type IVA (MPS IVA; Morquio A syndrome),2014-02-14,2021-02-14,Patients with Mucopolysaccharidosis type IVA (MPS IVA; Morquio A syndrome),BioMarin Pharmaceutical Inc.,105 Digital Drive,,Novato,California,' 94949 ' ,United States,280809.0
elotuzumab,Empliciti,2011-09-01,Treatment of multiple myeloma,Designated/Approved,,,Indicated in combination with lenalidomide and dexamethasone for the treatment of patients with multiple myeloma who have received one to three prior therapies,2015-11-30,2022-11-30,Indicated in combination with lenalidomide and dexamethasone for the treatment of patients with multiple myeloma who have received one to three prior therapies,Bristol-Myers Squibb Co.,P.O. Box 5326,,Princeton,New Jersey,' 08543 ' ,United States,348411.0
elotuzumab,Empliciti,2011-09-01,Treatment of multiple myeloma,Designated/Approved,,,EMPLICITI is indicated in combination with pomalidomide and dexamethasone for the treatment of adult patients with multiple myeloma who have received at least two prior therapies including lenalidomide and a proteasome inhibitor.,2018-11-06,2025-11-06,"Indicated in combination with pomalidomide and dexamethasone for the treatment of adult patients with multiple myeloma who have received at least two prior therapies including lenalidomide and a proteasome inhibitor, excluding adult patients covered by Empliciti¿s previously approved indication for multiple myeloma.",Bristol-Myers Squibb Co.,P.O. Box 5326,,Princeton,New Jersey,' 08543 ' ,United States,348411.0
elranatamab-bcmm,Elrexfio,2021-10-12,Treatment of multiple myeloma,Designated/Approved,,,"treatment of adult patients with relapsed or refractory multiple myeloma who have received at least four prior lines of therapy, including a proteasome inhibitor, an immunomodulatory agent, and an anti-CD38 monoclonal antibody",2023-08-14,2030-08-14,"treatment of adult patients with relapsed or refractory multiple myeloma who have received at least four prior lines of therapy, including a proteasome inhibitor, an immunomodulatory agent, and an anti-CD38 monoclonal antibody",Pfizer Inc.,66 Hudson Boulevard East,,New York,New York,' 10001 ' ,United States,840721.0
eltrombopag,Promacta,2013-11-08,Treatment of aplastic anemia,Designated/Approved,,,Treatment of patients with severe aplastic anemia who have had an insufficient response to immunosuppressive therapy.,2014-08-26,2021-08-26,Treatment of patients with severe aplastic anemia who have had an insufficient response to immunosuppressive therapy.,Novartis Pharmaceuticals Corp.,One Health Plaza,,East Hanover,New Jersey,' 07936 ' ,United States,410213.0
eltrombopag,Promacta,2013-11-08,Treatment of aplastic anemia,Designated/Approved,,,PROMACTA is indicated in combination with standard immunosuppressive therapy for the first-line treatment of adult and pediatric patients 2 years and older with severe aplastic anemia.,2018-11-16,2025-11-16,PROMACTA is indicated in combination with standard immunosuppressive therapy for the first-line treatment of adult and pediatric patients 2 years and older with severe aplastic anemia.,Novartis Pharmaceuticals Corp.,One Health Plaza,,East Hanover,New Jersey,' 07936 ' ,United States,410213.0
eltrombopag,Promacta,2008-05-05,Treatment of idiopathic thrombocytopenia purpura,Designated/Approved,,,"Treatment of thrombocytopenia in patients with chronic immune (idiopathic) thrombocytopenic purpura who have had an insufficient response to corticosteroids, immunoglobulins, or splenectomy",2008-11-20,2015-11-20,,Novartis Pharmaceuticals Corp.,One Health Plaza,,East Hanover,New Jersey,' 07936 ' ,United States,251907.0
